solo_Rating,solo_KillDeathRatio,solo_WinRatio,solo_TimeSurvived,solo_RoundsPlayed,solo_Wins,solo_Losses,solo_Kills,solo_Assists,solo_Suicides,solo_HeadshotKills,solo_VehicleDestroys,solo_RoundMostKills,solo_WeaponAcquired,solo_AvgSurvivalTime,solo_WinPoints,solo_WalkDistance,solo_DamageDealt
1613.64,3.78,10,12672.35,10,1,9,34,0,0,9,0,6,2,1267.23,1320,19011.74,3587.51
1494.1,6.75,33.33,10574.17,6,2,4,27,2,0,7,0,8,0,1650.88,3351,11148.74,2928.88
2428.67,2.89,6.17,82472.46,81,5,76,220,12,1,46,3,18,1,1018.18,2004,99227.47,25783.79
1173.71,0,0,146.94,1,0,1,0,0,0,0,0,0,0,146.94,978,0,0
2224.65,1.25,3.75,83616.02,80,3,77,96,6,1,15,0,5,2,1262.1,2870,138128.88,11680.34
1368.12,4.5,20,4895.76,5,1,4,18,1,0,1,0,11,0,979.15,1134,7108.35,1842.3
2522.9,1.3,1.79,213399.27,223,4,219,285,15,4,64,2,8,1,715.38,3060,273346.84,36088.63
2470.7,1.27,1.49,345818.9,404,6,398,507,30,3,109,5,8,2,855.99,2045,522282.6,64845.36
1452.95,2.67,0,12544.82,9,0,9,24,3,0,5,0,7,0,1349.54,2212,21680.7,2650.26
1631.15,1.07,3.17,46555.14,63,2,61,65,2,0,13,0,7,1,738.97,1343,63340.21,8044.77
1741.47,2.5,17.65,19895.93,17,3,14,35,4,0,7,0,8,1,1170.35,1455,31751.32,4047.3
1220.21,1,0,1218.82,1,0,1,1,0,0,1,0,1,1,1218.82,1016,4215.78,287.82
2337.78,2.66,5.06,259684.41,316,16,300,797,50,2,233,4,17,2,877.57,9172,376528.14,91751.38
2240.37,2.33,10.81,47807.24,37,4,33,77,2,2,18,1,10,0,1292.09,1853,67935.27,8765.64
1468.15,14,66.67,5611.58,3,2,1,14,0,0,2,0,5,1,1870.53,1236,6565.15,1388.97
2461.8,2.42,9.66,363176.11,290,28,262,633,40,1,150,17,13,1,1303.21,5938,604400.1,73545.58
2262.52,2.36,3.03,61521.59,66,2,64,151,5,0,29,1,12,2,932.15,1864,92358.8,17085.48
2260.56,1.31,1.33,81196.55,75,1,74,97,7,1,22,0,10,0,1082.62,1874,154589.4,11508.81
1370.63,3.25,11.11,6989.95,9,1,8,26,1,0,7,0,12,0,776.66,1137,9417.08,2966.94
2340.66,4.05,8.14,76365.97,86,7,79,320,4,2,152,15,33,0,952.45,5125,108899.36,33964.85
2495.3,1.26,5.62,100385.9,89,5,84,106,8,0,13,0,6,1,1127.93,2083,149917.2,12824.04
1875.38,2.15,13.04,28851.35,23,3,20,43,1,0,12,0,7,2,1254.41,1573,47393.29,4680.76
2364.72,2.02,7.58,71193.98,66,5,61,123,4,0,29,0,7,0,1078.7,1957,102108.5,14220.54
2194.75,1.12,0.73,110258.4,137,1,136,153,12,3,32,2,7,1,804.81,1810,163023.9,18441.27
2455.99,1.7,4.92,582207.2,549,27,522,889,64,5,176,13,9,0,1060.49,2033,772397.1,112184.5
2183.52,2.06,7.02,52178.01,57,4,53,109,8,1,36,1,11,0,915.4,1811,74600.3,12451.9
2235.54,3,11.48,83008.81,61,7,54,162,10,2,41,2,12,2,1437.01,3102,111451.48,17798.35
2461.9,1.08,0.94,489680.62,534,5,529,573,29,0,108,5,8,1,1047.8,7015,1053092.26,74000.44
2451.8,2.91,7.34,124638.67,109,8,101,294,18,0,84,1,12,0,1134.82,3691,196810.12,35761.56
1227.13,1.67,0,2591.82,3,0,3,5,1,0,2,0,3,1,863.94,1016,6099.14,494.64
1540.76,5.33,25,8361.24,8,2,6,32,0,0,7,0,13,1,1045.16,1274,11486.55,3166.32
2308.22,1.34,0,103082.7,101,0,101,135,8,1,26,2,9,1,1020.62,1908,156963.3,16074.82
2474.05,0.97,3.8,146595.02,158,6,152,147,12,2,22,3,5,1,971.66,3214,160713.76,19394.57
1844.6,15,57.14,11345.17,7,4,3,45,2,0,9,0,14,0,1620.74,1540,11140.42,5095.41
2324.27,2.4,5.41,55439.52,37,2,35,84,7,0,10,5,6,1,1498.36,1930,60744.56,10323.44
2381.3,1.74,2.3,76369.79,87,2,85,148,9,1,39,3,9,0,874.16,2976,108918.78,17016.07
2438.86,1.24,1.45,153843.7,138,2,136,168,5,0,44,0,6,0,958.43,5625,206028.75,19809.44
1700.3,2.64,7.84,60382.14,51,4,47,124,7,1,23,3,11,2,1148.83,6126,113422.86,13405.63
1609.82,1.43,6.67,17191.4,15,1,14,20,1,0,4,0,4,1,1146.09,1363,23702.66,2009.34
1531.12,3.62,11.11,13442.69,9,1,8,29,0,0,12,0,8,0,1483.38,2300,21963.68,3185.93
2413.39,1.5,2.47,277681.8,324,8,316,473,29,1,112,3,11,0,857.04,1987,425277.1,55533.68
2150,2.11,11.63,41543.09,43,5,38,80,7,2,16,0,9,2,966.12,1780,72200.88,10383.1
1382.76,3.25,0,8099.11,8,0,8,26,1,0,4,1,8,1,1012.39,1130,11365.32,3097.87
2363.51,1.91,3.64,69277.61,55,2,53,101,4,1,13,1,8,1,1259.59,1965,74920.8,12914.67
1918.25,3.06,11.11,31920.19,36,4,32,98,3,1,18,0,21,2,886.67,1574,46747.09,10691.68
1943.84,2.36,5.71,39422.85,35,2,33,78,2,0,22,0,9,0,1126.37,1601,70799.7,9312.88
1664.66,7.33,40,9695.13,5,2,3,22,1,0,1,0,9,2,1939.03,1403,9803.27,2588.85
1677.92,3.24,5.56,20242.57,18,1,17,55,2,1,20,0,13,1,1393.41,2393,19059.92,6176.36
1295.21,2.45,0,8612.72,11,0,11,27,1,1,9,0,10,2,658.86,3108,16669.69,3196.97
2439.37,2.33,8.75,193528.08,160,14,146,340,24,1,86,0,12,1,919.54,6468,257003.5,40799.62
2303.96,1.81,2.63,69177.2,76,2,74,134,10,0,33,0,9,0,618.86,2876,115727.86,15336.51
2255.36,3.96,20.59,47124.87,34,7,27,107,4,0,17,0,16,1,1386.03,1886,73819.95,12195.01
1429.81,4.4,37.5,9610.33,8,3,5,22,2,0,4,1,7,2,1245.51,2375,8969.5,2098.48
2202.83,1.98,5.97,76721.4,67,4,63,125,8,0,25,6,13,1,1145.1,1828,103712.4,15769.86
2151.62,2.05,4.23,135397.2,142,6,136,279,22,1,92,1,11,0,1214.45,4291,216552.4,31727.58
1321.36,3,0,6367.69,5,0,5,15,1,0,1,0,9,1,1273.54,1086,10751.52,1581.9
2523.63,0.82,1.12,473592.77,357,4,353,291,40,3,51,3,5,2,1367.5,3662,559536.4,38097.71
2534.35,1.75,3.6,245519.35,250,9,241,422,36,2,68,10,13,0,564.68,4059,368744.8,52337.16
1356.86,10,100,1964.57,1,1,0,10,0,0,3,0,10,0,1964.57,1130,2611.88,917.18
2222.08,1.41,3.11,154019.7,161,5,156,220,21,1,42,5,12,0,812.13,4050,207585.79,27708.03
2455.8,0.93,0.53,181220.5,190,1,189,175,14,1,37,2,6,1,953.79,2046,285082.9,22924.32
2412.72,1.72,6.2,162763.43,129,8,121,208,13,0,37,2,8,0,1605.6,6385,165547.9,25377.8
2573.78,0.87,1.27,303134.9,315,4,311,270,20,2,33,3,8,1,962.33,2138,340520.7,35135.09
1585.41,1.7,16.67,14706.58,12,2,10,17,1,0,2,0,5,1,749.6,2321,24421.45,2073.61
2464.72,1.39,0.7,129681.9,143,1,142,198,22,1,43,0,6,2,1108.7,3113,171790.06,27373.18
2008.93,0.76,2.46,109254.3,122,3,119,90,3,0,9,1,4,0,895.53,1678,127343.9,11234.62
2355.41,3.52,8.65,98781.51,104,9,95,334,14,0,94,5,13,2,975.06,3151,153066.42,37872.46
1746.25,2.91,8.33,24802.14,24,2,22,64,0,0,11,0,9,0,1024.4,2473,30067.79,6328.86
2136.39,4.52,13.73,49400.22,51,7,44,199,10,0,32,0,15,1,1170.67,3249,77820.81,21704.26
1813.72,2.33,4.26,46738.38,47,2,45,105,8,0,20,1,15,1,1165.5,2707,82723.09,12782.8
1465.25,2.17,7.69,11938.64,13,1,12,26,0,0,5,0,5,1,918.36,1209,20480.95,2595.4
1758.92,3.6,9.09,15836.5,11,1,10,36,1,0,9,1,9,1,1439.68,1466,20904.11,3798.01
2517.06,1.48,2.8,245410.22,250,7,243,360,26,4,65,7,9,0,882.74,5729,413275.15,44088.93
2235.66,3,8.57,44231.02,35,3,32,96,8,1,21,0,9,2,1405.85,3020,53536.97,10048.6
2056.76,2.51,6,44051.28,50,3,47,118,3,0,32,0,8,0,961.5,2853,78633.53,12661.89
2554.83,1.6,4.55,147551.8,132,6,126,202,16,0,40,1,10,0,1117.82,2112,224930.5,24763.87
2392.34,4.44,15.53,178163.8,161,25,136,604,31,1,184,1,15,2,1153.12,5240,222661.27,71920.77
1664.73,2.56,10,19030.61,20,2,18,46,1,0,17,0,12,1,951.53,1376,20468.83,4858.83
1702.31,2.07,0,25652.15,28,0,28,58,1,0,19,2,7,1,916.15,1396,33643.93,6351.28
2404.41,3.11,16.24,169854.8,117,19,98,305,25,0,44,3,9,2,1451.75,1994,280793,37334.91
1836.76,1.56,2.86,60020.19,70,2,68,106,10,1,19,2,10,1,1010.94,3671,83858.29,12660.57
2449.77,1.67,1.32,148720.94,152,2,150,251,6,3,64,3,9,1,1558.89,4187,243540.04,28458.91
1915.94,0.83,0,108439.5,121,0,121,101,9,0,16,0,6,0,896.19,1585,186507.2,13581.88
1227.1,2,0,3500.53,5,0,5,10,0,1,3,0,5,2,700.11,1015,3485.99,879.64
1543.3,1.56,5.26,20161.16,19,1,18,28,2,0,4,0,7,1,1061.11,1290,30824.12,2704.85
2180.72,2.24,5.56,50836.7,72,4,68,152,5,0,22,1,12,2,706.07,1768,91543.71,17034.6
1377.36,1.57,0,9657.52,7,0,7,11,1,0,2,0,4,0,1379.64,1154,15555.07,1108.48
1823.23,2.68,17.65,38152.74,34,6,28,75,3,1,16,2,11,2,1116.46,3943,67451.64,7990.45
1360.82,1.8,0,11592.13,10,0,10,18,1,1,3,0,5,2,1159.21,1122,19200.39,1934.61
2263.1,1.77,0.94,81252.65,106,1,105,186,4,2,39,0,9,1,850.28,2903,132728.95,20177.07
1858.81,1.37,5,43702.46,40,2,38,52,2,0,10,2,10,1,1092.56,1546,70768.88,5999.34
2259.33,3.06,8.33,38686.07,36,3,33,101,3,2,17,1,9,0,1074.61,1871,62533.09,10545.32
2375.64,3.4,9.09,91115.34,77,7,70,238,10,1,49,1,12,1,1183.32,1958,112679.1,27336.22
2114.6,7.45,35.29,24264.55,17,6,11,82,1,0,17,1,14,1,1110.92,3876,42941.03,8209.98
2034.78,1.35,0,99215.58,129,0,129,174,8,2,36,0,7,1,732.48,2692,143019.75,20058.47
2328.28,0.7,0.5,219892.5,202,1,201,140,25,1,35,2,5,1,1088.58,1953,269419,19096.61
2007.67,1.37,3.57,58842.39,56,2,54,74,3,0,19,0,8,0,983.82,3780,81095.11,8988.26
1538.86,2.48,0,21972.8,23,0,23,57,3,0,12,1,10,2,1216.32,2299,38771.13,6221.85
2523.74,1.03,0.79,306278.7,380,3,377,388,25,1,95,1,8,1,806,2084,483403.9,49274.32
2193.22,3.25,14.29,38560.76,28,4,24,78,4,0,17,0,10,0,1377.17,1822,36406.43,7944.15
1697.89,0.94,1.82,51790.29,55,1,54,51,2,2,7,0,4,2,941.64,1415,77597.48,6733.87
2086.72,1.89,6.56,52370.65,61,4,57,108,8,1,25,0,8,2,858.54,1692,88451.43,11914
1889.1,1.5,3.7,36236.5,27,1,26,39,2,0,2,0,8,2,1342.09,1583,51969.96,4811.41
2419.68,0.76,1.22,235701.89,245,3,242,183,16,4,40,2,7,1,877.47,3016,332030.69,25431.59
2402.41,0.78,0.76,260506.62,262,2,260,202,27,4,42,10,7,2,1329.27,3031,382498.58,28170.18
2356.57,1.54,5.26,134137.88,152,8,144,222,11,0,70,1,12,0,705.42,2945,241053.07,24945.82
2385.69,0.91,0.66,530120.61,609,4,605,548,43,2,74,4,9,2,849.17,5696,718638.94,69707.58
2354.32,2.02,9.71,140187.3,103,10,93,188,14,0,42,0,11,1,1361.04,1971,242852.3,21875.9
2369.54,1.44,1.01,183024.84,199,2,197,284,19,0,51,1,11,1,991.68,3046,212289.6,34610.22
1247.52,0.5,1.37,71098.22,73,1,72,36,2,0,9,0,7,0,973.95,1053,92502.01,4731.76
2396.76,1.26,2.84,176058.33,141,4,137,173,13,2,35,1,6,1,1406.54,3387,334835.41,21110.99
2199.06,1.08,3.57,211845.61,196,7,189,205,11,3,32,2,6,2,1093.79,6006,284569.06,23676.29
1688.17,1.61,2.13,68487.31,94,2,92,148,9,1,23,2,10,0,950.33,3570,101012.34,18412.01
2456.29,1.94,7.04,76237.16,71,5,66,128,3,0,26,3,13,1,1073.76,2046,108275.6,15019.5
2394.89,2.38,7.62,135226.18,105,8,97,231,12,0,51,0,9,1,1260.37,5022,280406.74,26585.77
2168.08,1.68,7.04,66622.66,71,5,66,111,6,0,21,0,8,2,995.74,3929,95543.56,12824.36
1620.25,1.57,3.45,24695.29,29,1,28,44,5,0,4,0,8,1,851.56,1338,31808.11,5710.09
2045.92,1.04,3.7,143862.39,135,5,130,135,9,2,37,2,8,2,1094.68,3241,212897.43,17816.94
1411.34,1.22,0,37089.77,46,0,46,56,4,0,14,0,10,1,949.56,2245,57326.64,7650.76
2341.3,2.88,10.81,170985.65,148,16,132,380,25,0,99,10,15,2,1406.51,2967,201641.87,47826.67
1350.74,2.12,0,8680.86,8,0,8,17,0,0,6,0,4,1,1085.11,1118,12252.57,1632.43
1850.85,2.82,21.43,21931.64,14,3,11,31,3,0,8,0,8,1,1566.55,1564,30225.53,4014.09
1361.49,7,100,1850.98,1,1,0,7,0,0,0,0,7,1,1850.98,1134,3737.78,605.9
2399.06,2.27,7.29,82823.4,96,7,89,202,12,3,63,5,13,2,917.66,5084,130929.85,23456.65
1480.24,2.56,10,11236.85,10,1,9,23,1,0,5,0,6,1,1123.68,1230,17118.54,2543.49
2355.94,0.96,1.89,138908.85,159,3,156,150,10,0,19,1,6,1,1027.37,2974,195131.68,19065.93
1774.98,2.7,11.11,46099.68,45,5,40,108,5,3,36,2,8,0,1056.92,2677,60233.49,12992.24
1536.21,1.57,0,25477.48,28,0,28,44,5,0,9,0,5,0,909.91,1262,35412.06,5073.39
1689.73,4.25,20,14399.46,10,2,8,34,0,1,12,1,9,1,1439.95,1405,18110.96,3512.15
2050.73,3.67,8.47,173001.12,177,15,162,595,27,4,195,3,18,1,1083.03,4587,285409.87,67798.2
1635.9,3.91,8.33,15396.3,12,1,11,43,0,0,18,0,9,2,891.42,2334,16358.71,4611.88
2341.14,1.87,3.7,658897.64,703,26,677,1263,60,5,189,6,13,0,972,5905,911262.41,146388.85
1637.06,5.57,22.22,10456.76,9,2,7,39,2,0,11,0,9,1,1161.86,1356,13600.94,4108.77
2416.33,0.59,0.81,245386.66,248,2,246,146,14,1,15,2,4,0,856.6,3027,307649.47,18850.73
1435.8,1.67,0,14495.84,12,0,12,20,1,0,4,0,6,2,1207.99,1194,23391.23,2230.09
2484.04,2.57,4.08,83135.89,98,4,94,242,17,2,59,0,13,0,848.33,2029,132987,27124.12
2325.59,1.7,5.38,141488.43,130,7,123,209,23,0,48,0,11,1,1049.83,5930,182144.36,29214.81
2213,4.7,15.69,54833.17,51,8,43,202,6,0,49,0,16,1,1059.12,3269,71583.34,22660.58
1322.63,1.5,0,19915.57,26,0,26,39,3,0,10,0,10,0,765.98,1070,20660.03,4398.44
2262.63,1.14,1.18,184568.1,254,3,251,287,11,3,58,2,10,1,726.65,1865,275265.2,35858.39
1725.84,0.9,3.7,53136.6,54,2,52,47,2,0,10,2,5,2,984.01,1442,69678.18,5557.69
1854.86,4.14,36.36,17126.49,11,4,7,29,2,0,5,1,7,0,1556.95,1559,23721.36,3045.69
2336.68,0.97,3.28,194006.77,183,6,177,172,16,2,31,3,9,2,1133.82,4891,348339.18,22294.86
2538.52,1.86,4.41,150240,136,6,130,242,7,1,53,0,10,1,1104.71,2085,239100.8,28071
2383.37,1.18,2.14,187590.8,140,3,137,162,21,1,21,1,5,2,1339.93,1997,242892.9,20150.69
2110.27,1.48,0,69871.55,84,0,84,124,11,0,23,0,10,1,831.8,1721,93347.74,14489.98
2298.91,1.18,0.8,281319.59,251,2,249,293,29,0,66,0,7,0,1535.73,5310,384311.63,38335.58
1262.44,2.5,0,2760.54,2,0,2,5,0,0,1,0,5,0,1380.27,2030,3635.38,670.07
1484.75,1.2,0,32591.7,44,0,44,53,0,0,3,0,6,2,740.72,1219,44910.86,5695.55
2334.54,0.76,0.3,260503.78,337,1,336,254,25,2,38,0,8,1,685.46,2925,355261.7,35837.53
1762.19,0.95,0,62792.12,61,0,61,58,3,0,10,0,4,1,1257.24,2507,81653.88,7578.23
2473.07,1.5,2.9,256054.8,241,7,234,350,30,2,65,4,10,2,1062.47,2054,352833.1,43087.88
2088.17,2.78,8.16,33373.07,49,4,45,125,4,1,24,1,16,0,681.08,1709,62766.01,13329.24
2047.69,4.83,25,22964.62,16,4,12,58,3,0,18,0,13,2,1435.29,1705,35149.02,6197.82
2309.19,0.87,1.05,397236.9,380,4,376,326,30,4,67,2,7,1,1045.36,1940,567504.1,45024.07
2318.67,2.52,7.08,98192.8,113,8,105,265,15,2,58,2,13,0,930.49,5773,139843.33,33707.18
2412.06,1.1,2.48,121522.13,121,3,118,130,8,2,23,2,6,1,687.77,2996,152073.05,15839.42
1257.01,0.71,0,7333.87,14,0,14,10,0,0,1,0,3,2,347.05,2026,10279.6,1375.22
1444.06,4,20,6970.13,5,1,4,16,1,0,5,0,5,0,1394.02,1212,15247.1,1578.06
1492.04,12.25,33.33,8525.59,6,2,4,49,0,0,14,0,21,1,1420.93,2347,12395.82,4530.26
1546.02,4.7,9.09,17465.57,11,1,10,47,1,0,5,0,11,0,1549.21,2437,22694.29,4407.23
1361.39,2.2,16.67,6782.07,6,1,5,11,0,1,3,0,5,2,1130.34,1138,8903.58,1329.81
2500.78,0.54,1.46,226713.42,205,3,202,110,11,2,15,3,4,0,1295.34,4310,306616.46,15864.22
2193.35,3.28,8.77,104221.89,114,10,104,341,28,0,57,1,14,1,870.18,6534,170911.96,38646.16
2365.38,0.92,0.53,199551.2,190,1,189,174,16,1,35,0,6,0,1050.27,1962,266042.8,23451.58
1854.23,2.37,6.82,41278.41,44,3,41,97,7,0,22,0,10,1,1360.39,2556,52987.31,11145.89
2429.19,1.7,2.3,181779.22,217,5,212,361,15,1,82,2,11,2,903.24,5442,283800.01,40942.18
1778.22,1.6,2.17,37354.98,46,1,45,72,5,1,13,0,7,1,812.06,1458,51698.38,8962.8
2290.06,1.19,1.1,102411.2,91,1,90,107,10,2,22,2,6,2,1125.4,1904,160459.4,13181.63
1882.35,1.38,2.94,54820.35,68,2,66,91,3,0,11,1,11,0,806.18,1547,77767.1,11032.82
1752.62,1.92,11.11,28922.48,27,3,24,46,5,0,7,0,8,0,1071.2,1457,29033.79,5204.04
2130.28,2.45,10.87,102057.29,92,10,82,201,3,0,63,2,10,2,1030.48,6306,161270.88,22672.83
1717.48,1.94,0,24738.64,18,0,18,35,1,1,4,2,5,0,1374.37,1427,31957.05,3691.93
1766.11,1.69,5.88,32672.65,34,2,32,54,1,0,13,0,7,2,960.96,1453,41137.81,5919.5
2153.97,2.29,8.11,42505.68,37,3,34,78,1,0,22,0,8,1,1148.8,1775,62766.1,8490.96
2248.01,2.14,6.52,94957.13,92,6,86,184,10,1,33,1,10,0,955.81,4014,107184.7,22907.57
2212.56,1.36,3.17,68356.13,63,2,61,83,5,0,20,1,7,1,1085.02,1839,110952.7,10469.25
2350.21,1.27,2.81,139654.16,178,5,173,220,21,0,36,1,8,2,665.03,4264,196352.4,25944.51
1734.86,5.67,33.33,14157.67,9,3,6,34,1,0,6,0,8,0,1451.59,2456,21389.92,3558.63
2298.83,2.97,5.79,217288.36,242,14,228,677,40,1,169,8,17,1,818.15,4804,299500.8,77458.77
2432.59,0.87,3.65,282725.11,219,8,211,183,22,2,27,11,4,0,1374.06,7490,347401.47,26349.72
1449.52,2.45,0,13525.48,11,0,11,27,2,0,4,0,5,1,1434.93,2301,25192.66,3134.6
1229.82,0.5,0,2537.48,2,0,2,1,0,0,0,0,1,1,1268.74,1028,4035.39,92.51
2297.3,2.88,17.07,60563.86,41,7,34,98,10,0,18,0,8,2,1477.17,1915,109429.9,11652.7
1916.92,2.09,8.57,38308.43,35,3,32,67,6,0,23,0,8,2,1267.37,2613,72043.59,7596.35
2364.79,0.97,4.67,126826.6,107,5,102,99,7,0,18,0,6,2,912.69,2982,176171.73,12207.22
1464.5,2,5.26,35855.04,57,3,54,108,5,1,32,0,9,1,629.04,1181,56640.19,12808.59
1697.2,2.9,13.04,24272.61,23,3,20,58,2,0,16,0,15,2,640.84,2365,40192.29,6445.98
2248.92,1.06,0,91647.52,90,0,90,95,4,0,25,0,10,2,1018.31,1872,156313.9,11445.9
1301.1,2.45,0,10358.27,11,0,11,27,1,0,8,0,8,1,1006.24,2117,18772.5,3253.35
2287.01,1.19,1.61,431715.42,436,7,429,510,40,2,97,3,8,0,1026.72,8472,575506.7,68087.3
1396.99,2.44,5.88,12199.91,17,1,16,39,1,0,12,0,13,1,439.09,2125,15801.79,4635.52
2102.69,0.79,1.75,203309.92,228,4,224,178,8,1,37,1,6,2,1186.8,4841,326293.33,23188.39
